state,county,Date,positive_pct,transmission_level,dose_1_pct,fully_pct,metro
Michigan,Chippewa County,2022-03-09,2.74,substantial,74.2,69.4,Non-metro
Kansas,Sheridan County,2022-03-09,3.6294571536429,low,39.1,35.2,Non-metro
North Dakota,Wells County,2022-03-09,3.6294571536429,substantial,48.6,43.3,Non-metro
Kansas,Wabaunsee County,2022-03-09,6.06,high,51.3,47.3,Metro
Illinois,Stephenson County,2022-03-09,1.58,substantial,66.2,60.4,Non-metro
Missouri,St. Charles County,2022-03-09,3.43,moderate,69.4,60.7,Metro
Nebraska,Hamilton County,2022-03-09,6.25,moderate,0,45.9,Metro
North Dakota,Stutsman County,2022-03-09,3,substantial,61.6,52.8,Non-metro
Kansas,Cherokee County,2022-03-09,3.85,moderate,53.9,45.3,Non-metro
Kansas,Neosho County,2022-03-09,6.96,substantial,33.6,27.4,Non-metro
Missouri,Lincoln County,2022-03-09,3.76,moderate,44.2,38.7,Metro
Missouri,Audrain County,2022-03-09,3.64,substantial,43.1,37.6,Non-metro
Wisconsin,Langlade County,2022-03-09,1.87,moderate,56.5,53.5,Non-metro
Minnesota,Brown County,2022-03-09,3.36,substantial,68.3,65.6,Non-metro
Michigan,Kent County,2022-03-09,5.34,moderate,61,60.8,Metro
Kansas,Allen County,2022-03-09,1.67,substantial,51.9,45.8,Non-metro
Michigan,Cheboygan County,2022-03-09,4.29,substantial,58.2,55.8,Non-metro
Illinois,Greene County,2022-03-09,0.95,moderate,46.4,43.8,Non-metro
North Dakota,Dunn County,2022-03-09,5,moderate,30.1,24.3,Non-metro
Indiana,Dubois County,2022-03-09,4.91,moderate,61.7,56.9,Non-metro
Wisconsin,Washburn County,2022-03-09,5.6,substantial,67.6,62.6,Non-metro
Nebraska,Merrick County,2022-03-09,5.26,moderate,44.7,43.2,Metro
Indiana,Monroe County,2022-03-09,2.81,moderate,64.7,58.4,Metro
Missouri,Vernon County,2022-03-09,4.88,substantial,39.8,34.7,Non-metro
Missouri,Montgomery County,2022-03-09,0.88,moderate,54.6,48.2,Non-metro
Illinois,Warren County,2022-03-09,0.55,low,53.7,49.4,Non-metro
Missouri,Warren County,2022-03-09,2.68,substantial,46.3,41.4,Metro
North Dakota,Billings County,2022-03-09,3.6294571536429,low,25.9,20.9,Non-metro
Illinois,Champaign County,2022-03-09,0.97,substantial,72,64.7,Metro
Missouri,Newton County,2022-03-09,2.88,moderate,29.9,25.6,Metro
Illinois,Bureau County,2022-03-09,1.94,substantial,63.8,56.7,Non-metro
Ohio,Hamilton County,2022-03-09,2.75,moderate,67.8,62.2,Metro
Kansas,Geary County,2022-03-09,2.7,substantial,95,88.5,Non-metro
Kansas,Osage County,2022-03-09,0.8,low,56.5,50.7,Metro
Illinois,Scott County,2022-03-09,0,low,44.6,42.1,Non-metro
Wisconsin,Sawyer County,2022-03-09,4.88,substantial,69.4,59.5,Non-metro
Missouri,Howard County,2022-03-09,2.78,moderate,49.5,42.9,Non-metro
Ohio,Knox County,2022-03-09,3.17,moderate,45.4,42.7,Non-metro
South Dakota,Hutchinson County,2022-03-09,1.96,moderate,60.4,53.4,Non-metro
South Dakota,Custer County,2022-03-09,0,moderate,60.2,50.2,Metro
Kansas,Smith County,2022-03-09,3.6294571536429,high,48,44.5,Non-metro
Indiana,Union County,2022-03-09,0,substantial,55.2,49.1,Metro
South Dakota,Aurora County,2022-03-09,0,substantial,63.5,53.9,Non-metro
South Dakota,McCook County,2022-03-09,0,moderate,69.6,56.9,Metro
Nebraska,Madison County,2022-03-09,2.78,low,0,45.4,Non-metro
Nebraska,Cedar County,2022-03-09,3.6294571536429,high,0,40.6,Non-metro
Indiana,Hancock County,2022-03-09,2.23,moderate,72.8,67.2,Metro
Minnesota,Rock County,2022-03-09,1.18,moderate,61.2,53.6,Non-metro
Nebraska,Wayne County,2022-03-09,12.9,high,0,41.2,Non-metro
Indiana,Newton County,2022-03-09,4.44,substantial,35.3,31.6,Metro
Ohio,Muskingum County,2022-03-09,4.27,substantial,50.3,48.1,Non-metro
South Dakota,Todd County,2022-03-09,0,high,84,66.8,Non-metro
Minnesota,Polk County,2022-03-09,1.84,substantial,65.3,57.6,Metro
Nebraska,Dawson County,2022-03-09,6.25,moderate,0,48.3,Non-metro
Indiana,Hendricks County,2022-03-09,2.73,moderate,78.9,71.3,Metro
Indiana,Miami County,2022-03-09,1.68,moderate,44,39.8,Non-metro
Missouri,Iron County,2022-03-09,2.02,moderate,43.4,38.4,Non-metro
Missouri,Adair County,2022-03-09,2.48,substantial,51.7,44.5,Non-metro
South Dakota,Corson County,2022-03-09,3.23,moderate,66.3,50.4,Non-metro
Missouri,Buchanan County,2022-03-09,5.95,high,44.1,38.1,Metro
Missouri,Washington County,2022-03-09,2.96,substantial,37.1,31.5,Non-metro
Indiana,Henry County,2022-03-09,2.95,substantial,56.4,51.7,Non-metro
Minnesota,Kandiyohi County,2022-03-09,1.62,moderate,57.8,53.6,Non-metro
South Dakota,Buffalo County,2022-03-09,3.6294571536429,low,66.7,60.5,Non-metro
Ohio,Perry County,2022-03-09,5.2,substantial,42.1,40.6,Metro
South Dakota,Lake County,2022-03-09,0,moderate,59.3,49.7,Non-metro
Nebraska,Gosper County,2022-03-09,3.6294571536429,high,0,39.5,Non-metro
Ohio,Lawrence County,2022-03-09,18.67,high,58.8,48.7,Metro
